path,label,l2_drift,cosine_sim,knn_overlap
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0129-0001.jpeg,NORMAL,0.93766356,0.5603936,0.9
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0135-0001.jpeg,NORMAL,0.54900306,0.8492979,0.7
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0143-0001.jpeg,NORMAL,0.5198319,0.8648875,0.7
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0151-0001.jpeg,NORMAL,0.5671554,0.8391674,0.6
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0154-0001.jpeg,NORMAL,0.72740173,0.7354434,0.9
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0158-0001.jpeg,NORMAL,0.7401894,0.7260599,0.8
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0170-0001.jpeg,NORMAL,0.3519707,0.9380583,0.8
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0189-0001.jpeg,NORMAL,0.6585872,0.7831314,0.8
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0199-0001.jpeg,NORMAL,0.5241946,0.8626101,0.8
/home/themachine/chest_xray_data/chest_xray/train/NORMAL/IM-0210-0001.jpeg,NORMAL,0.7453972,0.7221916,0.8
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1004_virus_1686.jpeg,PNEUMONIA,0.24868917,0.9690769,0.7
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1006_bacteria_2937.jpeg,PNEUMONIA,0.4168323,0.9131255,0.5
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1008_virus_1691.jpeg,PNEUMONIA,0.24040207,0.9711035,0.9
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1010_virus_1695.jpeg,PNEUMONIA,0.10736244,0.99423665,0.8
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1012_bacteria_2943.jpeg,PNEUMONIA,0.21445891,0.9770037,0.9
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1015_virus_1701.jpeg,PNEUMONIA,0.23149544,0.9732049,0.8
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1018_virus_1706.jpeg,PNEUMONIA,0.21714108,0.97642493,0.5
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1022_virus_1712.jpeg,PNEUMONIA,0.24362487,0.9703235,0.7
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person1024_virus_1716.jpeg,PNEUMONIA,0.29547754,0.9563466,0.6
/home/themachine/chest_xray_data/chest_xray/train/PNEUMONIA/person102_virus_189.jpeg,PNEUMONIA,1.0952522,0.40021136,0.8
