index,label,drift,s_5,s_10,s_20,s_50
0,NORMAL,0.198707,0.600000,0.500000,0.650000,0.780000
1,NORMAL,0.171493,0.600000,0.900000,0.800000,0.900000
2,NORMAL,0.178766,0.600000,0.300000,0.450000,0.720000
3,NORMAL,0.164800,0.800000,0.800000,0.850000,0.920000
4,NORMAL,0.149583,0.400000,0.700000,0.950000,0.900000
5,NORMAL,0.186734,0.600000,0.600000,0.600000,0.800000
6,NORMAL,0.184450,0.600000,0.300000,0.700000,0.760000
7,NORMAL,0.178739,0.600000,0.800000,0.800000,0.900000
8,NORMAL,0.074453,0.200000,0.100000,0.200000,0.380000
9,NORMAL,0.184410,0.600000,0.700000,0.550000,0.760000
10,NORMAL,0.197619,0.400000,0.700000,0.550000,0.680000
11,NORMAL,0.185154,0.400000,0.400000,0.450000,0.660000
12,NORMAL,0.208493,0.600000,0.700000,0.800000,0.760000
13,NORMAL,0.058197,0.200000,0.100000,0.050000,0.200000
14,NORMAL,0.168753,0.400000,0.500000,0.650000,0.740000
15,NORMAL,0.186287,0.800000,0.800000,0.750000,0.880000
16,NORMAL,0.119198,0.400000,0.300000,0.250000,0.280000
17,NORMAL,0.150081,0.200000,0.500000,0.400000,0.360000
18,NORMAL,0.048189,0.400000,0.300000,0.300000,0.160000
19,NORMAL,0.106672,0.000000,0.100000,0.300000,0.440000
20,NORMAL,0.160842,0.400000,0.300000,0.300000,0.520000
21,NORMAL,0.212714,0.600000,0.800000,0.600000,0.600000
22,NORMAL,0.229363,0.800000,0.600000,0.600000,0.600000
23,NORMAL,0.208028,0.200000,0.500000,0.350000,0.620000
24,NORMAL,0.211044,0.200000,0.200000,0.500000,0.420000
25,NORMAL,0.098210,0.400000,0.400000,0.350000,0.400000
26,NORMAL,0.226335,0.400000,0.700000,0.550000,0.560000
27,NORMAL,0.197523,0.800000,0.700000,0.700000,0.740000
28,NORMAL,0.215004,0.800000,0.600000,0.550000,0.740000
29,NORMAL,0.208312,0.400000,0.600000,0.550000,0.700000
30,NORMAL,0.194819,0.200000,0.500000,0.400000,0.440000
31,NORMAL,0.235475,0.200000,0.400000,0.350000,0.540000
32,NORMAL,0.242736,0.400000,0.200000,0.400000,0.560000
33,NORMAL,0.175215,0.400000,0.400000,0.500000,0.780000
34,NORMAL,0.196070,0.000000,0.100000,0.350000,0.500000
35,NORMAL,0.191671,0.600000,0.500000,0.500000,0.580000
36,NORMAL,0.266889,0.200000,0.300000,0.300000,0.280000
37,NORMAL,0.205230,0.600000,0.500000,0.550000,0.540000
38,NORMAL,0.226843,0.400000,0.600000,0.550000,0.540000
39,NORMAL,0.160999,0.800000,0.800000,0.750000,0.760000
40,NORMAL,0.213542,0.400000,0.400000,0.650000,0.680000
41,NORMAL,0.186796,0.600000,0.600000,0.650000,0.780000
42,NORMAL,0.208933,0.200000,0.300000,0.550000,0.640000
43,NORMAL,0.212410,0.600000,0.500000,0.400000,0.560000
44,NORMAL,0.222328,0.600000,0.500000,0.500000,0.640000
45,NORMAL,0.191658,0.400000,0.600000,0.600000,0.660000
46,NORMAL,0.135059,0.400000,0.800000,0.600000,0.760000
47,NORMAL,0.234980,0.600000,0.700000,0.650000,0.580000
48,NORMAL,0.177607,0.600000,0.600000,0.500000,0.700000
49,NORMAL,0.143622,0.400000,0.300000,0.350000,0.320000
50,NORMAL,0.239067,0.200000,0.200000,0.250000,0.480000
51,NORMAL,0.161206,0.800000,0.500000,0.650000,0.660000
52,NORMAL,0.207770,0.400000,0.300000,0.500000,0.680000
53,NORMAL,0.238879,0.600000,0.400000,0.550000,0.560000
54,NORMAL,0.177658,0.400000,0.400000,0.400000,0.500000
55,NORMAL,0.194490,0.200000,0.200000,0.350000,0.500000
56,NORMAL,0.218189,0.600000,0.500000,0.650000,0.540000
57,NORMAL,0.249630,0.400000,0.300000,0.350000,0.520000
58,NORMAL,0.213585,0.400000,0.400000,0.400000,0.620000
59,NORMAL,0.076375,0.200000,0.100000,0.150000,0.240000
60,NORMAL,0.221227,0.400000,0.400000,0.400000,0.540000
61,NORMAL,0.196329,0.400000,0.800000,0.700000,0.760000
62,NORMAL,0.197532,0.400000,0.500000,0.600000,0.560000
63,NORMAL,0.184486,0.400000,0.400000,0.550000,0.660000
64,NORMAL,0.193180,0.400000,0.500000,0.600000,0.680000
